id;name;token;country;is_ico;is_ieo;is_sto;ico_start;ico_end;price_usd;raised_usd;distributed_in_ico;sold_tokens;token_for_sale;whitelist;kyc;bonus;restricted_areas;min_investment;bounty;mvp;pre_ico_start;pre_ico_end;pre_ico_price_usd;platform;accepting;link_white_paper;linkedin_link;github_link;website;rating;teamsize;Coinmarketcap_identifier;ERC20
1;WINSSHI;WNS;India;1;0;0;2020-08-10;2020-12-31;0.01;5E+05;0.5;1E+08;5E+08;Yes;1;1;Pakistan, Turkey, Somalia, Sirya, Sudan;50 USD;1;Available;NA;NA;5.0000000000000001E-3;0;BTC, ETH, and Fiat currency;NA;https://www.linkedin.com/company/bitfinex-limited/;NA;NA;4;NA;NA;1
2;Tycoon;Tycoon Token / TYC;Cyprus;1;0;0;2020-08-01;2020-12-31;0.1;NA;0.6;NA;8.4e+07;No;1;0;USA;NA;1;Available;2019-07-22;2019-10-31;NA;1;ETH, BTC;https://www.tycoon.io/whitepaper.pdf;https://www.linkedin.com/company/tycoonio/about/;https://www.github.com/tycoon?tab=repositories;https://www.tycoon.io?utm_source=icobench;4.8;14;NA;1
3;Mindsync;MAI;UK;1;0;0;2019-03-01;2020-12-31;0.14000000000000001;4900000;0.5;NA;7.5e+07;No;0;1;Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia, Ukraine, Estonia, Russian Federation and North Korea;100 USD;1;Available;2018-12-15;2019-01-15;NA;0;ETH, BTC, LTC;https://mindsync.ai/docs/whitepaper.pdf;https://www.linkedin.com/company/mindsync/;NA;NA;4.5;14;NA;1
4;PointPay;PXP;UK;1;0;0;2020-06-25;2021-01-31;0.1;NA;0.5;NA;5E+08;Yes;1;1;Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea, Yemen;0.10 USD;1;Available;NA;NA;0.1;0;BTC, ETH, XRP, BNB, LTC, XLM, USDT, BCH, TRX, EOS;https://cdn.pointpay.io/WhitePaper__en.pdf?cache=1.4;https://www.linkedin.com/company/pointpay/about/;NA;NA;4.7;43;5640;1
5;LOHN;LOHN;Seychelles;1;0;0;NA;NA;0.06;NA;0.4;NA;4E+08;Yes;1;1;USA, CANADA, CHINA, SOUTH KOREA, SEYCHELLES;1 ETH;0;Available;NA;NA;0.03;1;ETH;https://lohncontrol.com/down/LOHN-white-paper-4.3.pdf;https://www.linkedin.com/showcase/lohncontrol;https://www.github.com/lohn7?tab=repositories;https://lohncontrol.com?utm_source=icobench;4.4;16;NA;1
6;Emanate;EMANATE;Australia;1;0;0;2018-07-30;2018-10-30;0.12;NA;423;NA;8.8e+07;Yes;1;0;USA, China;NA;0;Available;NA;NA;NA;1;ETH, BTC;https://emanate.live/pdf/mn8-whitepaper-v12.pdf;https://www.linkedin.com/company/emanate-live/;https://www.github.com/EmaNonete-official?tab=repositories;https://emanate.live/?utm_source=icobench;4.1;14;3993;0
7;Hashbon;HASH;Czech Republic;1;0;0;2018-08-01;2018-11-03;0.11689620000000001;NA;0.75;NA;1.5e+08;No;1;1;Afghanistan, Bangladesh, Bolivia, Bosnia and Herzegovina, Canada, Ecuador, Ethiopia, Guyana, Iran-Islamic Republic of, Iraq, North Korea, Lao People's Democratic Republic, Sri Lanka, Sudan, Syrian Arab Republic, Trinidad and Tobago, Tunisia, Uganda, USA, Vanuatu, Yemen;100 HASH;1;Available;NA;NA;NA;1;ETH, BTC, DASH, LTC, XMR, ZEC;https://hashbon.com/info/whitepaper_eng.pdf;https://www.linkedin.com/company/hashbon/;https://www.github.com/hashbon?tab=repositories;https://hashbon.com/?utm_source=icobench;4.4;16;NA;1
8;MetaHash;MHC;Russia;1;0;0;2018-06-29;NA;3.9100000000000003E-2;NA;0.12;NA;20240000;No;1;0;None;NA;0;Available;NA;NA;NA;0;ETH, BTC;https://metahash.org/docs/MetaHash_WhitePaper_EN.pdf;NA;https://www.github.com/metahashorg?tab=repositories;https://metahash.org/?utm_source=icobench;4.3;11;3756;1
9;2GETHER;2GT;Spain;1;0;0;NA;NA;NA;NA;0.17;NA;4E+08;No;1;0;NA;10 EUR;1;Available;2019-04-10;NA;1 2GT = 0.05 EUR;1;EUR, BTC, ETH;NA;TBD;None;https://www.2gether.global/?utm_source=icobench;4.4;30;NA;1
10;Coinimp;IMP;Belize;1;0;0;2019-01-01;2020-12-31;0.01;NA;587;NA;3.2e+08;No;0;1;NA;1 USD;0;Available;NA;NA;NA;0;BTC, ETH, XMR;https://coinimp.com/coinimp-white-paper;https://www.linkedin.com/company/coinimp/;https://www.github.com/coinimp?tab=repositories;https://www.coinimp.com/tokensale?utm_source=icobench;4;25;NA;0
11;SaTT;SaTT;USA;1;0;0;2018-05-01;2020-12-31;4.1999999999999997E-3;NA;0.34;NA;6.8e+10;No;0;1;Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea;NA;1;Available;NA;NA;NA;1;ETH, BTC, Fiat;https://satt-token.com/files/ico_satt_en.pdf;https://www.linkedin.com/company/atayen-inc/;https://www.github.com/Atayen?tab=repositories;https://www.satt-token.com/?utm_source=icobench;4.5;15;7244;1
12;serenitysource;SERENITY/SET;Australia;1;0;0;2019-09-01;NA;0.1;NA;0.4;NA;2E+08;Yes;1;1;United States, Republic of China , North Korea , Afghanistan , Syria , Iraq;NA;1;Available;NA;NA;NA;1;ETH, BTC, USD;NA;TBD;https://www.github.com/Serenity-Energy?tab=repositories;https://serenitysource.com.au/?utm_source=icobench;4.2;28;NA;1
