id,name,token,country,is_ico,is_ieo,is_sto,ico_start,ico_end,price_usd,raised_usd,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,bounty,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,platform,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,Coinmarketcap_identifier,ERC20,contract_address,Source
1,WINSSHI,WNS,India,1,0,0,2020-08-10,2020-12-31,0.01,500000,0.5,100000000,500000000,Yes,1,1,"Pakistan, Turkey, Somalia, Sirya, Sudan",50 USD,1,Available,,,5.0000000000000001E-3,0,"BTC, ETH, and Fiat currency",,https://www.linkedin.com/company/bitfinex-limited/,,,4,,,1,,ICObench
2,Tycoon,Tycoon Token / TYC,Cyprus,1,0,0,2020-08-01,2020-12-31,0.1,,0.6,,84000000,No,1,0,USA,,1,Available,2019-07-22,2019-10-31,,1,"ETH, BTC",https://www.tycoon.io/whitepaper.pdf,https://www.linkedin.com/company/tycoonio/about/,https://www.github.com/tycoon?tab=repositories,https://www.tycoon.io?utm_source=icobench,4.8,14,,1,,ICObench
3,Mindsync,MAI,UK,1,0,0,2019-03-01,2020-12-31,0.14000000000000001,4900000,0.5,,75000000,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia, Ukraine, Estonia, Russian Federation and North Korea",100 USD,1,Available,2018-12-15,2019-01-15,,0,"ETH, BTC, LTC",https://mindsync.ai/docs/whitepaper.pdf,https://www.linkedin.com/company/mindsync/,,,4.5,14,,1,,ICObench
4,PointPay,PXP,UK,1,0,0,2020-06-25,2021-01-31,0.1,,0.5,,500000000,Yes,1,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea, Yemen",0.10 USD,1,Available,,,0.1,0,"BTC, ETH, XRP, BNB, LTC, XLM, USDT, BCH, TRX, EOS",https://cdn.pointpay.io/WhitePaper__en.pdf?cache=1.4,https://www.linkedin.com/company/pointpay/about/,,,4.7,43,5640,1,0x15FA5d3DBD11a831b72B92C1705BC9F801E233CB,ICObench
5,LOHN,LOHN,Seychelles,1,0,0,,,0.06,,0.4,,400000000,Yes,1,1,"USA, CANADA, CHINA, SOUTH KOREA, SEYCHELLES",1 ETH,0,Available,,,0.03,1,ETH,https://lohncontrol.com/down/LOHN-white-paper-4.3.pdf,https://www.linkedin.com/showcase/lohncontrol,https://www.github.com/lohn7?tab=repositories,https://lohncontrol.com?utm_source=icobench,4.4,16,,1,,ICObench
6,Emanate,EMANATE,Australia,1,0,0,2018-07-30,2018-10-30,0.12,,423,,88000000,Yes,1,0,"USA, China",,0,Available,,,,1,"ETH, BTC",https://emanate.live/pdf/mn8-whitepaper-v12.pdf,https://www.linkedin.com/company/emanate-live/,https://www.github.com/EmaNonete-official?tab=repositories,https://emanate.live/?utm_source=icobench,4.1,14,3993,0,,ICObench
7,Hashbon,HASH,Czech Republic,1,0,0,2018-08-01,2018-11-03,0.11689620000000001,,0.75,,150000000,No,1,1,"Afghanistan, Bangladesh, Bolivia, Bosnia and Herzegovina, Canada, Ecuador, Ethiopia, Guyana, Iran-Islamic Republic of, Iraq, North Korea, Lao People's Democratic Republic, Sri Lanka, Sudan, Syrian Arab Republic, Trinidad and Tobago, Tunisia, Uganda, USA, Vanuatu, Yemen",100 HASH,1,Available,,,,1,"ETH, BTC, DASH, LTC, XMR, ZEC",https://hashbon.com/info/whitepaper_eng.pdf,https://www.linkedin.com/company/hashbon/,https://www.github.com/hashbon?tab=repositories,https://hashbon.com/?utm_source=icobench,4.4,16,,1,,ICObench
8,MetaHash,MHC,Russia,1,0,0,2018-06-29,,3.9100000000000003E-2,,0.12,,20240000,No,1,0,,,0,Available,,,,0,"ETH, BTC",https://metahash.org/docs/MetaHash_WhitePaper_EN.pdf,,https://www.github.com/metahashorg?tab=repositories,https://metahash.org/?utm_source=icobench,4.3,11,3756,1,,ICObench
9,2GETHER,2GT,Spain,1,0,0,,,,,0.17,,400000000,No,1,0,,10 EUR,1,Available,2019-04-10,,1 2GT = 0.05 EUR,1,"EUR, BTC, ETH",,TBD,,https://www.2gether.global/?utm_source=icobench,4.4,30,,1,,ICObench
10,Coinimp,IMP,Belize,1,0,0,2019-01-01,2020-12-31,0.01,,587,,320000000,No,0,1,,1 USD,0,Available,,,,0,"BTC, ETH, XMR",https://coinimp.com/coinimp-white-paper,https://www.linkedin.com/company/coinimp/,https://www.github.com/coinimp?tab=repositories,https://www.coinimp.com/tokensale?utm_source=icobench,4,25,,0,,ICObench
11,SaTT,SaTT,USA,1,0,0,2018-05-01,2020-12-31,4.1999999999999997E-3,,0.34,,68000000000,No,0,1,"Cuba, Iran, Lebanon, Syria, Libya, Sudan, Somalia and North Korea",,1,Available,,,,1,"ETH, BTC, Fiat",https://satt-token.com/files/ico_satt_en.pdf,https://www.linkedin.com/company/atayen-inc/,https://www.github.com/Atayen?tab=repositories,https://www.satt-token.com/?utm_source=icobench,4.5,15,7244,1,,ICObench
12,serenitysource,SERENITY/SET,Australia,1,0,0,2019-09-01,,0.1,,0.4,,200000000,Yes,1,1,"United States, Republic of China , North Korea , Afghanistan , Syria , Iraq",,1,Available,,,,1,"ETH, BTC, USD",,TBD,https://www.github.com/Serenity-Energy?tab=repositories,https://serenitysource.com.au/?utm_source=icobench,4.2,28,,1,,ICObench
13,BiPS,BiPS,UK,1,0,0,2018-11-15,2019-01-31,2.8928959999999999,,0.1,,50000000,Yes,1,1,"USA, China, Bangaldesh, Pakistan, Russia",0.1 ETH,0,Available,,,,0,ETH,https://s3.eu-west-2.amazonaws.com/bips-moneybrain/documents/Moneybrain_BiPS_Whitepaper_v1.pdf,https://www.linkedin.com/company/moneybrain-bips/,https://www.github.com/MoneybrainBiPS?tab=repositories,https://bips.moneybrain.com/?utm_source=icobench,3.1,24,,1,,ICObench
14,Hoard,HRD,Denmark,1,0,0,,,0.04,,0.28,,280000000,No,1,0,"USA, North Korea",,0,Available,,,,0,ETH,https://hoard.exchange/files/hoard-whitepaper.pdf,TBD,https://www.github.com/hoardexchange?tab=repositories,http://hoard.exchange/index.html?utm_source=icobench,4.3,9,,1,,ICObench
15,KardiaChain,KAI,Singapore,1,0,0,2019-06-01,,,,,,,No,0,0,"USA, Canada, New Zealand, China",,1,Available,,,,1,"ETH, BTC",https://dl.kardiachain.io/paper.pdf,https://www.linkedin.com/company/kardiachain,https://www.github.com/kardiachain?tab=repositories,https://www.kardiachain.io?utm_source=icobench,4.3,12,5453,1,,ICObench
16,MADANA,PAX,Germany,1,0,0,2018-09-01,2018-10-31,1.166466,,0.45,,55000000,Yes,1,1,"USA, Canada, China Mainland - Afghanistan, Algeria, Bolivia, Burundi, Cambodia, Crimea, Cuba, Ecuador, El Salvador, Eritrea, Ethiopia, Guinea-Bissau, Iran, Iraq, North Korea, Kosovo, Kyrgyzstan, Laos, Libya, Malawi, Mali, Mozambique, Serbia, Somalia, Sri Lanka, Sudan, South Sudan, Syria, Tajikistan, Tanzania, Timor-Leste, Trinidad and Tobago, Tunisia, Uganda, Uzbekistan, Vanuatu, Venezuela, Yemen, Zimbabwe",100 EUR,0,Available,,,1 PAX = 0.5 EUR,1,"BTC, ETH, LSK",https://www.madana.io/whitepaper,https://www.linkedin.com/company/madana.io/,https://www.github.com/MADANone-IO?tab=repositories,http://madana.io?utm_source=icobench,3.9,15,,0,,ICObench
17,QUASA,QUA,Germany,1,0,0,2018-02-15,,0.31230000000000002,,,,50769000,No,1,0,"USA, China",0.01 ETH,1,Available,,,1 ETH = 6000 QUA,1,"ETH, BTC, BCH, LTC, Fiat",http://www.quasa.io/whitePaper,TBD,https://www.github.com/quasagroup?tab=repositories,http://www.quasa.io/?utm_source=icobench,4.2,12,,1,,ICObench
18,Solidified,Solid,Gibraltar,1,0,0,2018-07-23,2018-10-23,6.7627949550000004,,0.6,,2400000,Yes,1,1,,0.5 ETH,0,Available,,,,1,ETH,https://token.solidified.io/files/Solidified_Whitepaper.pdf,https://www.linkedin.com/company/solidified/,https://www.github.com/solidified-contracts?tab=repositories,https://token.solidified.io/?utm_source=icobench,4.4,12,,1,,ICObench
19,Terra Virtua,TVA,UK,1,0,0,2017-11-30,2017-11-30,0.08,,0.7,,840000000,No,1,0,USA,,0,Available,,,,0,"BTC, ETH",https://www.terravirtua.io/images/Terra_Virtua_Whitepaper_eng.pdf,https://www.linkedin.com/company/terravirtua/,,https://www.terravirtua.io?utm_source=icobench,3.9,10,,1,,ICObench
20,UCOIN,UCOIN,British Virgin Islands,1,0,0,2020-07-01,2021-06-30,1,,0.1,,500000000,No,1,1,"USA, China, Singapore",100 USD,0,Available,2020-07-01,2021-06-30,1,1,"ETH, BTC, Fiat",https://ucoincurrency.io/Whitepaper-Ucoin.pdf,https://www.linkedin.com/company/ucoincurrency/,https://www.github.com/ucoincurrency?tab=repositories,https://ucoincurrency.io/?utm_source=icobench,3.4,12,725,1,0xf832d55d0d9c0a591d2eb7f380161ce14b416475,ICObench
21,Attrace,ATTR,Netherlands,1,0,0,2018-07-12,2018-09-06,1.7000000000000001E-2,,0.5,,500000000,No,1,1,"USA, China",0.02 ETH,1,Available,2018-06-21,2018-07-05,2.5000000000000001E-2,1,"ETH, BTC, Fiat",https://attrace.com/pdf/attrace_whitepaper.pdf,https://www.linkedin.com/company/attrace/,https://www.github.com/attrace?tab=repositories,https://attrace.com?utm_source=icobench,3.9,18,,0,,ICObench
22,Betform,BFC,Singapore,1,0,0,2019-01-08,2019-01-31,0.1,,839,,201250000,Yes,1,1,"USA, Singapore",500 BFC,1,Available,2018-10-01,2018-10-31,7.0000000000000007E-2,1,ETH,https://www.betformcoin.io/Betform-White%20paper%202018_03.pdf,https://www.linkedin.com/company/betform/,https://www.github.com/GameDevICO?tab=repositories,https://www.betformcoin.io/?utm_source=icobench,3.9,9,,1,,ICObench
23,BiNeuro,BNR,UK,1,0,0,2018-03-27,2018-12-30,4.5011599700000002E-2,,,,850000000,No,0,1,USA,500 BNR,1,Available,,,1 BNR = 0.0001 ETH,1,ETH,https://bineuro.com/web/WhiteP.pdf,,https://www.github.com/BiNeuro?tab=repositories,https://bineuro.com/?utm_source=icobench,3.8,7,,1,,ICObench
24,CINEMADROM (PreICO),LUT,Cayman Islands,1,0,0,2020-11-01,2020-12-31,1,,0.1,,300000000,Yes,1,1,"USA, China",1000 USD,1,Available,,,,0,"ETH, BTC, USDT, Fiat",,https://www.linkedin.com/company/cinemadrom/,,,3.1,13,,1,,ICObench
